Place,State,District,Tags,Budget,Price_Day,Region,Description,Image,Map_Link,Content
Varkala,Kerala,Thiruvananthapuram,"Beach, Cliff, Relaxation, Adventure",Medium,5000,South India,"Discover the beauty of Varkala in Thiruvananthapuram, Kerala. A perfect spot for Beach, Cliff, Relaxation, Adventure.",https://picsum.photos/seed/Varkala/800/500,https://www.google.com/maps/search/?api=1&query=Varkala+Kerala,"beach, cliff, relaxation, adventure discover the beauty of varkala in thiruvananthapuram, kerala. a perfect spot for beach, cliff, relaxation, adventure. south india kerala thiruvananthapuram"
Athirappilly Falls,Kerala,Thrissur,"Nature, Waterfall, Photography, Forest",Low,2000,South India,"Discover the beauty of Athirappilly Falls in Thrissur, Kerala. A perfect spot for Nature, Waterfall, Photography, Forest.",https://picsum.photos/seed/AthirappillyFalls/800/500,https://www.google.com/maps/search/?api=1&query=Athirappilly Falls+Kerala,"nature, waterfall, photography, forest discover the beauty of athirappilly falls in thrissur, kerala. a perfect spot for nature, waterfall, photography, forest. south india kerala thrissur"
Coorg,Karnataka,Kodagu,"Nature, Coffee Estates, Mountains, Relax",Medium,5000,South India,"Discover the beauty of Coorg in Kodagu, Karnataka. A perfect spot for Nature, Coffee Estates, Mountains, Relax.",https://picsum.photos/seed/Coorg/800/500,https://www.google.com/maps/search/?api=1&query=Coorg+Karnataka,"nature, coffee estates, mountains, relax discover the beauty of coorg in kodagu, karnataka. a perfect spot for nature, coffee estates, mountains, relax. south india karnataka kodagu"
Hampi,Karnataka,Vijayanagara,"Heritage, History, Ruins, Culture",Low,2000,South India,"Discover the beauty of Hampi in Vijayanagara, Karnataka. A perfect spot for Heritage, History, Ruins, Culture.",https://picsum.photos/seed/Hampi/800/500,https://www.google.com/maps/search/?api=1&query=Hampi+Karnataka,"heritage, history, ruins, culture discover the beauty of hampi in vijayanagara, karnataka. a perfect spot for heritage, history, ruins, culture. south india karnataka vijayanagara"
Gokarna,Karnataka,Uttara Kannada,"Beach, Relax, Hippie, Nature",Low,2000,South India,"Discover the beauty of Gokarna in Uttara Kannada, Karnataka. A perfect spot for Beach, Relax, Hippie, Nature.",https://picsum.photos/seed/Gokarna/800/500,https://www.google.com/maps/search/?api=1&query=Gokarna+Karnataka,"beach, relax, hippie, nature discover the beauty of gokarna in uttara kannada, karnataka. a perfect spot for beach, relax, hippie, nature. south india karnataka uttara kannada"
Chikkamagaluru,Karnataka,Chikkamagaluru,"Nature, Coffee, Mountains, Trekking",Medium,5000,South India,"Discover the beauty of Chikkamagaluru in Chikkamagaluru, Karnataka. A perfect spot for Nature, Coffee, Mountains, Trekking.",https://picsum.photos/seed/Chikkamagaluru/800/500,https://www.google.com/maps/search/?api=1&query=Chikkamagaluru+Karnataka,"nature, coffee, mountains, trekking discover the beauty of chikkamagaluru in chikkamagaluru, karnataka. a perfect spot for nature, coffee, mountains, trekking. south india karnataka chikkamagaluru"
Mysore Palace,Karnataka,Mysore,"Heritage, Palace, City, Culture",Medium,5000,South India,"Discover the beauty of Mysore Palace in Mysore, Karnataka. A perfect spot for Heritage, Palace, City, Culture.",https://picsum.photos/seed/MysorePalace/800/500,https://www.google.com/maps/search/?api=1&query=Mysore Palace+Karnataka,"heritage, palace, city, culture discover the beauty of mysore palace in mysore, karnataka. a perfect spot for heritage, palace, city, culture. south india karnataka mysore"
Araku Valley,Andhra Pradesh,Visakhapatnam,"Nature, Hills, Coffee, Tribes",Low,2000,South India,"Discover the beauty of Araku Valley in Visakhapatnam, Andhra Pradesh. A perfect spot for Nature, Hills, Coffee, Tribes.",https://picsum.photos/seed/ArakuValley/800/500,https://www.google.com/maps/search/?api=1&query=Araku Valley+Andhra Pradesh,"nature, hills, coffee, tribes discover the beauty of araku valley in visakhapatnam, andhra pradesh. a perfect spot for nature, hills, coffee, tribes. south india andhra pradesh visakhapatnam"
Gandikota,Andhra Pradesh,Kadapa,"Nature, Adventure, Grand Canyon, History",Low,2000,South India,"Discover the beauty of Gandikota in Kadapa, Andhra Pradesh. A perfect spot for Nature, Adventure, Grand Canyon, History.",https://picsum.photos/seed/Gandikota/800/500,https://www.google.com/maps/search/?api=1&query=Gandikota+Andhra Pradesh,"nature, adventure, grand canyon, history discover the beauty of gandikota in kadapa, andhra pradesh. a perfect spot for nature, adventure, grand canyon, history. south india andhra pradesh kadapa"
Charminar,Telangana,Hyderabad,"City, Culture, History, Landmark",Medium,5000,South India,"Discover the beauty of Charminar in Hyderabad, Telangana. A perfect spot for City, Culture, History, Landmark.",https://picsum.photos/seed/Charminar/800/500,https://www.google.com/maps/search/?api=1&query=Charminar+Telangana,"city, culture, history, landmark discover the beauty of charminar in hyderabad, telangana. a perfect spot for city, culture, history, landmark. south india telangana hyderabad"
Ramoji Film City,Telangana,Hyderabad,"Entertainment, Movies, Theme Park, Family",High,10000,South India,"Discover the beauty of Ramoji Film City in Hyderabad, Telangana. A perfect spot for Entertainment, Movies, Theme Park, Family.",https://picsum.photos/seed/RamojiFilmCity/800/500,https://www.google.com/maps/search/?api=1&query=Ramoji Film City+Telangana,"entertainment, movies, theme park, family discover the beauty of ramoji film city in hyderabad, telangana. a perfect spot for entertainment, movies, theme park, family. south india telangana hyderabad"
Shimla,Himachal Pradesh,Shimla,"Hill Station, Snow, Mountains, Colonial",Medium,5000,North India,"Discover the beauty of Shimla in Shimla, Himachal Pradesh. A perfect spot for Hill Station, Snow, Mountains, Colonial.",https://picsum.photos/seed/Shimla/800/500,https://www.google.com/maps/search/?api=1&query=Shimla+Himachal Pradesh,"hill station, snow, mountains, colonial discover the beauty of shimla in shimla, himachal pradesh. a perfect spot for hill station, snow, mountains, colonial. north india himachal pradesh shimla"
Manali,Himachal Pradesh,Kullu,"Hill Station, Adventure, Snow, Honeymoon",Medium,5000,North India,"Discover the beauty of Manali in Kullu, Himachal Pradesh. A perfect spot for Hill Station, Adventure, Snow, Honeymoon.",https://picsum.photos/seed/Manali/800/500,https://www.google.com/maps/search/?api=1&query=Manali+Himachal Pradesh,"hill station, adventure, snow, honeymoon discover the beauty of manali in kullu, himachal pradesh. a perfect spot for hill station, adventure, snow, honeymoon. north india himachal pradesh kullu"
Kasol,Himachal Pradesh,Kullu,"Nature, Trekking, Hippie, River",Low,2000,North India,"Discover the beauty of Kasol in Kullu, Himachal Pradesh. A perfect spot for Nature, Trekking, Hippie, River.",https://picsum.photos/seed/Kasol/800/500,https://www.google.com/maps/search/?api=1&query=Kasol+Himachal Pradesh,"nature, trekking, hippie, river discover the beauty of kasol in kullu, himachal pradesh. a perfect spot for nature, trekking, hippie, river. north india himachal pradesh kullu"
Nainital,Uttarakhand,Nainital,"Hill Station, Lake, Nature, Family",Medium,5000,North India,"Discover the beauty of Nainital in Nainital, Uttarakhand. A perfect spot for Hill Station, Lake, Nature, Family.",https://picsum.photos/seed/Nainital/800/500,https://www.google.com/maps/search/?api=1&query=Nainital+Uttarakhand,"hill station, lake, nature, family discover the beauty of nainital in nainital, uttarakhand. a perfect spot for hill station, lake, nature, family. north india uttarakhand nainital"
Rishikesh,Uttarakhand,Dehradun,"Adventure, River, Nature, Spiritual",Low,2000,North India,"Discover the beauty of Rishikesh in Dehradun, Uttarakhand. A perfect spot for Adventure, River, Nature, Spiritual.",https://picsum.photos/seed/Rishikesh/800/500,https://www.google.com/maps/search/?api=1&query=Rishikesh+Uttarakhand,"adventure, river, nature, spiritual discover the beauty of rishikesh in dehradun, uttarakhand. a perfect spot for adventure, river, nature, spiritual. north india uttarakhand dehradun"
Mussoorie,Uttarakhand,Dehradun,"Hill Station, Mountains, Nature, Family",Medium,5000,North India,"Discover the beauty of Mussoorie in Dehradun, Uttarakhand. A perfect spot for Hill Station, Mountains, Nature, Family.",https://picsum.photos/seed/Mussoorie/800/500,https://www.google.com/maps/search/?api=1&query=Mussoorie+Uttarakhand,"hill station, mountains, nature, family discover the beauty of mussoorie in dehradun, uttarakhand. a perfect spot for hill station, mountains, nature, family. north india uttarakhand dehradun"
Jaipur City Palace,Rajasthan,Jaipur,"City, History, Forts, Culture",Medium,5000,North India,"Discover the beauty of Jaipur City Palace in Jaipur, Rajasthan. A perfect spot for City, History, Forts, Culture.",https://picsum.photos/seed/JaipurCityPalace/800/500,https://www.google.com/maps/search/?api=1&query=Jaipur City Palace+Rajasthan,"city, history, forts, culture discover the beauty of jaipur city palace in jaipur, rajasthan. a perfect spot for city, history, forts, culture. north india rajasthan jaipur"
Udaipur Lake Palace,Rajasthan,Udaipur,"City, Lake, History, Romantic",High,10000,North India,"Discover the beauty of Udaipur Lake Palace in Udaipur, Rajasthan. A perfect spot for City, Lake, History, Romantic.",https://picsum.photos/seed/UdaipurLakePalace/800/500,https://www.google.com/maps/search/?api=1&query=Udaipur Lake Palace+Rajasthan,"city, lake, history, romantic discover the beauty of udaipur lake palace in udaipur, rajasthan. a perfect spot for city, lake, history, romantic. north india rajasthan udaipur"
Jaisalmer Fort,Rajasthan,Jaisalmer,"Desert, Safari, History, Culture",Medium,5000,North India,"Discover the beauty of Jaisalmer Fort in Jaisalmer, Rajasthan. A perfect spot for Desert, Safari, History, Culture.",https://picsum.photos/seed/JaisalmerFort/800/500,https://www.google.com/maps/search/?api=1&query=Jaisalmer Fort+Rajasthan,"desert, safari, history, culture discover the beauty of jaisalmer fort in jaisalmer, rajasthan. a perfect spot for desert, safari, history, culture. north india rajasthan jaisalmer"
Baga Beach,Goa,North Goa,"Beach, Party, Nightlife, Shopping",Medium,5000,South India,"Discover the beauty of Baga Beach in North Goa, Goa. A perfect spot for Beach, Party, Nightlife, Shopping.",https://picsum.photos/seed/BagaBeach/800/500,https://www.google.com/maps/search/?api=1&query=Baga Beach+Goa,"beach, party, nightlife, shopping discover the beauty of baga beach in north goa, goa. a perfect spot for beach, party, nightlife, shopping. south india goa north goa"
Palolem Beach,Goa,South Goa,"Beach, Quiet, Relax, Nature",Medium,5000,South India,"Discover the beauty of Palolem Beach in South Goa, Goa. A perfect spot for Beach, Quiet, Relax, Nature.",https://picsum.photos/seed/PalolemBeach/800/500,https://www.google.com/maps/search/?api=1&query=Palolem Beach+Goa,"beach, quiet, relax, nature discover the beauty of palolem beach in south goa, goa. a perfect spot for beach, quiet, relax, nature. south india goa south goa"
Dudhsagar Falls,Goa,South Goa,"Nature, Waterfall, Trekking, Adventure",Low,2000,South India,"Discover the beauty of Dudhsagar Falls in South Goa, Goa. A perfect spot for Nature, Waterfall, Trekking, Adventure.",https://picsum.photos/seed/DudhsagarFalls/800/500,https://www.google.com/maps/search/?api=1&query=Dudhsagar Falls+Goa,"nature, waterfall, trekking, adventure discover the beauty of dudhsagar falls in south goa, goa. a perfect spot for nature, waterfall, trekking, adventure. south india goa south goa"
Lonavala,Maharashtra,Pune,"Hill Station, Nature, Monsoon, Weekend",Low,2000,Central India,"Discover the beauty of Lonavala in Pune, Maharashtra. A perfect spot for Hill Station, Nature, Monsoon, Weekend.",https://picsum.photos/seed/Lonavala/800/500,https://www.google.com/maps/search/?api=1&query=Lonavala+Maharashtra,"hill station, nature, monsoon, weekend discover the beauty of lonavala in pune, maharashtra. a perfect spot for hill station, nature, monsoon, weekend. central india maharashtra pune"
Gateway of India,Maharashtra,Mumbai City,"City, Sea, History, Landmark",High,10000,Central India,"Discover the beauty of Gateway of India in Mumbai City, Maharashtra. A perfect spot for City, Sea, History, Landmark.",https://picsum.photos/seed/GatewayofIndia/800/500,https://www.google.com/maps/search/?api=1&query=Gateway of India+Maharashtra,"city, sea, history, landmark discover the beauty of gateway of india in mumbai city, maharashtra. a perfect spot for city, sea, history, landmark. central india maharashtra mumbai city"
Ajanta Caves,Maharashtra,Aurangabad,"History, Heritage, Caves, Art",Medium,5000,Central India,"Discover the beauty of Ajanta Caves in Aurangabad, Maharashtra. A perfect spot for History, Heritage, Caves, Art.",https://picsum.photos/seed/AjantaCaves/800/500,https://www.google.com/maps/search/?api=1&query=Ajanta Caves+Maharashtra,"history, heritage, caves, art discover the beauty of ajanta caves in aurangabad, maharashtra. a perfect spot for history, heritage, caves, art. central india maharashtra aurangabad"
Darjeeling,West Bengal,Darjeeling,"Hill Station, Tea, Mountains, Toy Train",Medium,5000,East India,"Discover the beauty of Darjeeling in Darjeeling, West Bengal. A perfect spot for Hill Station, Tea, Mountains, Toy Train.",https://picsum.photos/seed/Darjeeling/800/500,https://www.google.com/maps/search/?api=1&query=Darjeeling+West Bengal,"hill station, tea, mountains, toy train discover the beauty of darjeeling in darjeeling, west bengal. a perfect spot for hill station, tea, mountains, toy train. east india west bengal darjeeling"
Victoria Memorial,West Bengal,Kolkata,"City, History, Architecture, Culture",Low,2000,East India,"Discover the beauty of Victoria Memorial in Kolkata, West Bengal. A perfect spot for City, History, Architecture, Culture.",https://picsum.photos/seed/VictoriaMemorial/800/500,https://www.google.com/maps/search/?api=1&query=Victoria Memorial+West Bengal,"city, history, architecture, culture discover the beauty of victoria memorial in kolkata, west bengal. a perfect spot for city, history, architecture, culture. east india west bengal kolkata"
Gangtok,Sikkim,East Sikkim,"Hill Station, Nature, Mountains, Monastery",Medium,5000,East India,"Discover the beauty of Gangtok in East Sikkim, Sikkim. A perfect spot for Hill Station, Nature, Mountains, Monastery.",https://picsum.photos/seed/Gangtok/800/500,https://www.google.com/maps/search/?api=1&query=Gangtok+Sikkim,"hill station, nature, mountains, monastery discover the beauty of gangtok in east sikkim, sikkim. a perfect spot for hill station, nature, mountains, monastery. east india sikkim east sikkim"
Tawang Monastery,Arunachal Pradesh,Tawang,"Mountains, Nature, Monastery, High Altitude",High,10000,East India,"Discover the beauty of Tawang Monastery in Tawang, Arunachal Pradesh. A perfect spot for Mountains, Nature, Monastery, High Altitude.",https://picsum.photos/seed/TawangMonastery/800/500,https://www.google.com/maps/search/?api=1&query=Tawang Monastery+Arunachal Pradesh,"mountains, nature, monastery, high altitude discover the beauty of tawang monastery in tawang, arunachal pradesh. a perfect spot for mountains, nature, monastery, high altitude. east india arunachal pradesh tawang"
Kaziranga National Park,Assam,Golaghat,"Wildlife, Safari, Rhino, Nature",Medium,5000,East India,"Discover the beauty of Kaziranga National Park in Golaghat, Assam. A perfect spot for Wildlife, Safari, Rhino, Nature.",https://picsum.photos/seed/KazirangaNationalPark/800/500,https://www.google.com/maps/search/?api=1&query=Kaziranga National Park+Assam,"wildlife, safari, rhino, nature discover the beauty of kaziranga national park in golaghat, assam. a perfect spot for wildlife, safari, rhino, nature. east india assam golaghat"
Gulmarg,Jammu & Kashmir,Baramulla,"Snow, Skiing, Mountains, Nature",High,10000,North India,"Discover the beauty of Gulmarg in Baramulla, Jammu & Kashmir. A perfect spot for Snow, Skiing, Mountains, Nature.",https://picsum.photos/seed/Gulmarg/800/500,https://www.google.com/maps/search/?api=1&query=Gulmarg+Jammu & Kashmir,"snow, skiing, mountains, nature discover the beauty of gulmarg in baramulla, jammu & kashmir. a perfect spot for snow, skiing, mountains, nature. north india jammu & kashmir baramulla"
Dal Lake,Jammu & Kashmir,Srinagar,"Nature, Lake, Houseboat, Mountains",High,10000,North India,"Discover the beauty of Dal Lake in Srinagar, Jammu & Kashmir. A perfect spot for Nature, Lake, Houseboat, Mountains.",https://picsum.photos/seed/DalLake/800/500,https://www.google.com/maps/search/?api=1&query=Dal Lake+Jammu & Kashmir,"nature, lake, houseboat, mountains discover the beauty of dal lake in srinagar, jammu & kashmir. a perfect spot for nature, lake, houseboat, mountains. north india jammu & kashmir srinagar"
Taj Mahal,Uttar Pradesh,Agra,"History, Landmark, Architecture, Romance",Medium,5000,North India,"Discover the beauty of Taj Mahal in Agra, Uttar Pradesh. A perfect spot for History, Landmark, Architecture, Romance.",https://picsum.photos/seed/TajMahal/800/500,https://www.google.com/maps/search/?api=1&query=Taj Mahal+Uttar Pradesh,"history, landmark, architecture, romance discover the beauty of taj mahal in agra, uttar pradesh. a perfect spot for history, landmark, architecture, romance. north india uttar pradesh agra"
Varanasi Ghats,Uttar Pradesh,Varanasi,"Spiritual, River, Culture, History",Low,2000,North India,"Discover the beauty of Varanasi Ghats in Varanasi, Uttar Pradesh. A perfect spot for Spiritual, River, Culture, History.",https://picsum.photos/seed/VaranasiGhats/800/500,https://www.google.com/maps/search/?api=1&query=Varanasi Ghats+Uttar Pradesh,"spiritual, river, culture, history discover the beauty of varanasi ghats in varanasi, uttar pradesh. a perfect spot for spiritual, river, culture, history. north india uttar pradesh varanasi"
Golden Temple,Punjab,Amritsar,"Spiritual, Culture, History, Peace",Low,2000,North India,"Discover the beauty of Golden Temple in Amritsar, Punjab. A perfect spot for Spiritual, Culture, History, Peace.",https://picsum.photos/seed/GoldenTemple/800/500,https://www.google.com/maps/search/?api=1&query=Golden Temple+Punjab,"spiritual, culture, history, peace discover the beauty of golden temple in amritsar, punjab. a perfect spot for spiritual, culture, history, peace. north india punjab amritsar"
Konark Sun Temple,Odisha,Puri,"History, Architecture, Heritage, Spiritual",Low,2000,East India,"Discover the beauty of Konark Sun Temple in Puri, Odisha. A perfect spot for History, Architecture, Heritage, Spiritual.",https://picsum.photos/seed/KonarkSunTemple/800/500,https://www.google.com/maps/search/?api=1&query=Konark Sun Temple+Odisha,"history, architecture, heritage, spiritual discover the beauty of konark sun temple in puri, odisha. a perfect spot for history, architecture, heritage, spiritual. east india odisha puri"
