Place,State,District,Category,Activities,Budget,Duration_Suitability,Description,Image,Map_Link,Latitude,Longitude,Review,Rating,Combined_Features,Price_Day
Guwahati,Spiritual,Temple visit, History, Culture,Medium,1 day,Discover the beauty of Guwahati.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Guwahati,26.1805978,91.753943,A lovely destination. Guwahati has so much to offer.,4.8, History  Culture Medium Spiritual Discover the beauty of Guwahati. A lovely destination. Guwahati has so much to offer.,5500
Nashik,Spiritual,Jyotirlinga visit, Rituals,Low,1 day,,Discover the beauty of Nashik.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Nashik,20.0112475,73.7902364,A lovely destination. Nashik has so much to offer.,4.9, Rituals Low 1 day Spiritual Discover the beauty of Nashik. A lovely destination. Nashik has so much to offer.,12000
Ujjain,Spiritual,Jyotirlinga visit, Bhasma Aarti,Low,1-2 days,,Discover the beauty of Ujjain.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Ujjain,23.1885131,75.7716562,Ujjain exceeded our expectations. Will definitely visit again!,4.9, Bhasma Aarti Low 1-2 days Spiritual Discover the beauty of Ujjain. Ujjain exceeded our expectations. Will definitely visit again!,12000
North Goa,Beach,Nightlife, Water sports, Shacks,Medium,3-5 days,Discover the beauty of North Goa.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=North%20Goa,15.6044413,74.0017241,North Goa exceeded our expectations. Will definitely visit again!,4.9, Water sports  Shacks Medium Beach Discover the beauty of North Goa. North Goa exceeded our expectations. Will definitely visit again!,5500
Pune,Heritage,History, Fort ruins, Light show,Low,1 day,Discover the beauty of Pune.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Pune,18.5213738,73.8545071,A lovely destination. Pune has so much to offer.,4.9, Fort ruins  Light show Low Heritage Discover the beauty of Pune. A lovely destination. Pune has so much to offer.,2500
Puducherry,Beach,Walking, Sunrise, Cafe hopping,Medium,2-3 days,Discover the beauty of Puducherry.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Puducherry,10.9156489,79.8069488,A lovely destination. Puducherry has so much to offer.,4.8, Sunrise  Cafe hopping Medium Beach Discover the beauty of Puducherry. A lovely destination. Puducherry has so much to offer.,5500
Nilgiris,Wildlife,Safari, Nature walk, Camping,Medium,2 days,Discover the beauty of Nilgiris.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Nilgiris,11.4449997,76.69752,Nilgiris exceeded our expectations. Will definitely visit again!,4.2, Nature walk  Camping Medium Wildlife Discover the beauty of Nilgiris. Nilgiris exceeded our expectations. Will definitely visit again!,5500
Aurangabad,Heritage,Cave exploration, Architecture, History,Medium,1-2 days,Discover the beauty of Aurangabad.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Aurangabad,19.877263,75.3390241,Aurangabad exceeded our expectations. Will definitely visit again!,4.9, Architecture  History Medium Heritage Discover the beauty of Aurangabad. Aurangabad exceeded our expectations. Will definitely visit again!,5500
Hyderabad,Heritage,City view, Shopping, History,Medium,1 day,Discover the beauty of Hyderabad.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Hyderabad,17.360589,78.4740613,"Great food, great people, and amazing sights at Hyderabad.",4.5," Shopping  History Medium Heritage Discover the beauty of Hyderabad. Great food, great people, and amazing sights at Hyderabad.",5500
Mathura,Spiritual,Light show, Temple visit, Gardens,Low,1 day,Discover the beauty of Mathura.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Mathura,27.4955539,77.6855554,Mathura exceeded our expectations. Will definitely visit again!,4.7, Temple visit  Gardens Low Spiritual Discover the beauty of Mathura. Mathura exceeded our expectations. Will definitely visit again!,2500
Kullu,Hill Station,Snow, Paragliding, River rafting,Medium,4-5 days,Discover the beauty of Kullu.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Kullu,31.9578974,77.1089232,Kullu exceeded our expectations. Will definitely visit again!,4.2, Paragliding  River rafting Medium Hill Station Discover the beauty of Kullu. Kullu exceeded our expectations. Will definitely visit again!,5500
Leh,Adventure,Biking, Monasteries, Scenic drives,High,6-10 days,Discover the beauty of Leh.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Leh,34.1642029,77.5848133,Leh exceeded our expectations. Will definitely visit again!,5.0, Monasteries  Scenic drives High Adventure Discover the beauty of Leh. Leh exceeded our expectations. Will definitely visit again!,12000
Kodagu,Hill Station,Coffee plantations, Trekking, Waterfall,Medium,3-4 days,Discover the beauty of Kodagu.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Kodagu,12.3827332,75.6640715,"Great food, great people, and amazing sights at Kodagu.",4.5," Trekking  Waterfall Medium Hill Station Discover the beauty of Kodagu. Great food, great people, and amazing sights at Kodagu.",5500
Port Blair,Beach,Scuba diving, Snorkeling, Relaxing,High,5-7 days,Discover the beauty of Port Blair.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Port%20Blair,11.6645348,92.7390448,A lovely destination. Port Blair has so much to offer.,4.8, Snorkeling  Relaxing High Beach Discover the beauty of Port Blair. A lovely destination. Port Blair has so much to offer.,12000
Udaipur,Heritage,Lake view, History, Boat ride,High,2-3 days,Discover the beauty of Udaipur.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Udaipur,24.578721,73.6862571,A lovely destination. Udaipur has so much to offer.,4.9, History  Boat ride High Heritage Discover the beauty of Udaipur. A lovely destination. Udaipur has so much to offer.,12000
Srinagar,Hill Station,Dal Lake, Houseboat, Gardens,High,3-4 days,Discover the beauty of Srinagar.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Srinagar,34.0747444,74.8204443,"Great food, great people, and amazing sights at Srinagar.",4.9," Houseboat  Gardens High Hill Station Discover the beauty of Srinagar. Great food, great people, and amazing sights at Srinagar.",12000
East Sikkim,Hill Station,Monasteries, Viewpoints, Ropeway,Medium,3-4 days,Discover the beauty of East Sikkim.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=East%20Sikkim,27.5858069,88.1101127,A lovely destination. East Sikkim has so much to offer.,4.5, Viewpoints  Ropeway Medium Hill Station Discover the beauty of East Sikkim. A lovely destination. East Sikkim has so much to offer.,5500
Idukki,Hill Station,Tea gardens, Trekking, Nature,Medium,3-4 days,Discover the beauty of Idukki.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Idukki,9.8154785,76.9991599,A lovely destination. Idukki has so much to offer.,4.7, Trekking  Nature Medium Hill Station Discover the beauty of Idukki. A lovely destination. Idukki has so much to offer.,5500
Thiruvananthapuram,Beach,Cliff views, Paragliding, Relaxing,Medium,2-3 days,Discover the beauty of Thiruvananthapuram.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Thiruvananthapuram,8.4882267,76.947551,A lovely destination. Thiruvananthapuram has so much to offer.,4.9, Paragliding  Relaxing Medium Beach Discover the beauty of Thiruvananthapuram. A lovely destination. Thiruvananthapuram has so much to offer.,5500
Kangra,Hill Station,Tibetan culture, Trekking, Meditation,Medium,2-3 days,Discover the beauty of Kangra.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Kangra,32.0768665,76.2985872,A lovely destination. Kangra has so much to offer.,4.8, Trekking  Meditation Medium Hill Station Discover the beauty of Kangra. A lovely destination. Kangra has so much to offer.,5500
Dehradun,Adventure,Rafting, Yoga, Camping,Low,2-3 days,Discover the beauty of Dehradun.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Dehradun,30.3255646,78.0436813,Dehradun exceeded our expectations. Will definitely visit again!,4.8, Yoga  Camping Low Adventure Discover the beauty of Dehradun. Dehradun exceeded our expectations. Will definitely visit again!,2500
Alappuzha,Backwaters,Houseboat, Canoeing, Village walk,High,2-3 days,Discover the beauty of Alappuzha.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Alappuzha,9.5009875,76.4122536,A lovely destination. Alappuzha has so much to offer.,4.9, Canoeing  Village walk High Backwaters Discover the beauty of Alappuzha. A lovely destination. Alappuzha has so much to offer.,12000
Darjeeling,Hill Station,Toy train, Tea gardens, Sunrise,Medium,3-4 days,Discover the beauty of Darjeeling.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Darjeeling,27.0377554,88.263176,A lovely destination. Darjeeling has so much to offer.,4.2, Tea gardens  Sunrise Medium Hill Station Discover the beauty of Darjeeling. A lovely destination. Darjeeling has so much to offer.,5500
Puducherry,Heritage,French colony, Beach, Auroville,Medium,2-3 days,Discover the beauty of Puducherry.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Puducherry,10.9156489,79.8069488,"Great food, great people, and amazing sights at Puducherry.",4.8," Beach  Auroville Medium Heritage Discover the beauty of Puducherry. Great food, great people, and amazing sights at Puducherry.",5500
Chhatarpur,Heritage,Temple art, History, Light show,Medium,1-2 days,Discover the beauty of Chhatarpur.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Chhatarpur,24.760609,79.6781776,A lovely destination. Chhatarpur has so much to offer.,5.0, History  Light show Medium Heritage Discover the beauty of Chhatarpur. A lovely destination. Chhatarpur has so much to offer.,5500
Chennai,Beach,Evening walk, Street food, Sunrise,Low,1 day,Discover the beauty of Chennai.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Chennai,13.0836939,80.270186,"Great food, great people, and amazing sights at Chennai.",4.7," Street food  Sunrise Low Beach Discover the beauty of Chennai. Great food, great people, and amazing sights at Chennai.",2500
Reasi,Spiritual,Trekking, Temple visit, Views,Medium,2-3 days,Discover the beauty of Reasi.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Reasi,33.0691032,74.8378698,A lovely destination. Reasi has so much to offer.,4.9, Temple visit  Views Medium Spiritual Discover the beauty of Reasi. A lovely destination. Reasi has so much to offer.,5500
Haridwar,Spiritual,Ganga Aarti, Temple hop, Culture,Low,1-2 days,Discover the beauty of Haridwar.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Haridwar,29.9123514,78.0087178,"Great food, great people, and amazing sights at Haridwar.",4.7," Temple hop  Culture Low Spiritual Discover the beauty of Haridwar. Great food, great people, and amazing sights at Haridwar.",2500
Kanyakumari,Coastal,Sunrise, Ferry ride, Memorial,Low,1-2 days,Discover the beauty of Kanyakumari.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Kanyakumari,8.079252,77.5499338,A lovely destination. Kanyakumari has so much to offer.,4.8, Ferry ride  Memorial Low Coastal Discover the beauty of Kanyakumari. A lovely destination. Kanyakumari has so much to offer.,2500
Ernakulam,Heritage,Chinese fishing nets, History, Art,Medium,2 days,Discover the beauty of Ernakulam.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Ernakulam,10.0383947,76.5074145,A lovely destination. Ernakulam has so much to offer.,4.8, History  Art Medium Heritage Discover the beauty of Ernakulam. A lovely destination. Ernakulam has so much to offer.,5500
Ahmedabad,Heritage,Ashram visit, Riverfront, Texture,Medium,1-2 days,Discover the beauty of Ahmedabad.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Ahmedabad,23.0215374,72.5800568,A lovely destination. Ahmedabad has so much to offer.,4.5, Riverfront  Texture Medium Heritage Discover the beauty of Ahmedabad. A lovely destination. Ahmedabad has so much to offer.,5500
Mandla,Wildlife,Tiger safari, Jungle stay, Nature,Medium,2-3 days,Discover the beauty of Mandla.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Mandla,22.6871074,80.5816341,A lovely destination. Mandla has so much to offer.,4.2, Jungle stay  Nature Medium Wildlife Discover the beauty of Mandla. A lovely destination. Mandla has so much to offer.,5500
Vijayanagara,Heritage,Ruins, Bouldering, History,Low,2-3 days,Discover the beauty of Vijayanagara.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Vijayanagara,14.9428567,76.0448007,A lovely destination. Vijayanagara has so much to offer.,4.2, Bouldering  History Low Heritage Discover the beauty of Vijayanagara. A lovely destination. Vijayanagara has so much to offer.,2500
Varanasi,Spiritual,Ganga Aarti, Boat ride, Culture,Low,2-3 days,Discover the beauty of Varanasi.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Varanasi,25.3356491,83.0076292,A lovely destination. Varanasi has so much to offer.,4.5, Boat ride  Culture Low Spiritual Discover the beauty of Varanasi. A lovely destination. Varanasi has so much to offer.,2500
South Goa,Beach,Kayaking, Relaxing, Dolphin watching,Medium,3-5 days,Discover the beauty of South Goa.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=South%20Goa,15.2197327,74.1147213,South Goa exceeded our expectations. Will definitely visit again!,4.9, Relaxing  Dolphin watching Medium Beach Discover the beauty of South Goa. South Goa exceeded our expectations. Will definitely visit again!,5500
Jaisalmer,Heritage,Desert safari, Fort stay, Camel ride,Medium,2-3 days,Discover the beauty of Jaisalmer.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Jaisalmer,26.9116615,70.9124888,A lovely destination. Jaisalmer has so much to offer.,4.7, Fort stay  Camel ride Medium Heritage Discover the beauty of Jaisalmer. A lovely destination. Jaisalmer has so much to offer.,5500
Nilgiris,Hill Station,Boating, Gardens, Toy train,Medium,3-4 days,Discover the beauty of Nilgiris.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Nilgiris,11.4449997,76.69752,"Great food, great people, and amazing sights at Nilgiris.",5.0," Gardens  Toy train Medium Hill Station Discover the beauty of Nilgiris. Great food, great people, and amazing sights at Nilgiris.",5500
Dindigul,Hill Station,Cycling, Lake view, Trekking,Medium,2-3 days,Discover the beauty of Dindigul.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Dindigul,10.4256897,77.815664,"Great food, great people, and amazing sights at Dindigul.",4.7," Lake view  Trekking Medium Hill Station Discover the beauty of Dindigul. Great food, great people, and amazing sights at Dindigul.",5500
Chengalpattu,Heritage,Rock carvings, Beach, History,Low,1 day,Discover the beauty of Chengalpattu.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Chengalpattu,12.6840886,79.9836371,"Great food, great people, and amazing sights at Chengalpattu.",5.0," Beach  History Low Heritage Discover the beauty of Chengalpattu. Great food, great people, and amazing sights at Chengalpattu.",2500
Salem,Hill Station,Viewpoints, Boating, Drive,Low,1-2 days,Discover the beauty of Salem.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Salem,44.9391565,-123.033121,Salem exceeded our expectations. Will definitely visit again!,4.2, Boating  Drive Low Hill Station Discover the beauty of Salem. Salem exceeded our expectations. Will definitely visit again!,2500
Ramanathapuram,Spiritual,Temple visit, Pamban bridge, Sea,Low,1 day,Discover the beauty of Ramanathapuram.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Ramanathapuram,9.5205576,78.5184635,"Great food, great people, and amazing sights at Ramanathapuram.",4.9," Pamban bridge  Sea Low Spiritual Discover the beauty of Ramanathapuram. Great food, great people, and amazing sights at Ramanathapuram.",2500
Wayanad,Nature,Caves, Waterfalls, Wildlife,Medium,3-4 days,Discover the beauty of Wayanad.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Wayanad,11.7151292,76.1271185,Wayanad exceeded our expectations. Will definitely visit again!,4.7, Waterfalls  Wildlife Medium Nature Discover the beauty of Wayanad. Wayanad exceeded our expectations. Will definitely visit again!,5500
Kullu,Nature,Trekking, Cafe hopping, River sit,Low,2-3 days,Discover the beauty of Kullu.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Kullu,31.9578974,77.1089232,Kullu exceeded our expectations. Will definitely visit again!,4.7, Cafe hopping  River sit Low Nature Discover the beauty of Kullu. Kullu exceeded our expectations. Will definitely visit again!,2500
Nainital,Hill Station,Lake boating, Ropeway, View,Medium,2-3 days,Discover the beauty of Nainital.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Nainital,29.294995,79.4162511,A lovely destination. Nainital has so much to offer.,4.2, Ropeway  View Medium Hill Station Discover the beauty of Nainital. A lovely destination. Nainital has so much to offer.,5500
Dehradun,Hill Station,Mall road, Falls, Nature,Medium,2-3 days,Discover the beauty of Dehradun.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Dehradun,30.3255646,78.0436813,A lovely destination. Dehradun has so much to offer.,4.5, Falls  Nature Medium Hill Station Discover the beauty of Dehradun. A lovely destination. Dehradun has so much to offer.,5500
Pune,Hill Station,Monsoon, Caves, Forts,Low,1-2 days,Discover the beauty of Pune.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Pune,18.5213738,73.8545071,A lovely destination. Pune has so much to offer.,4.5, Caves  Forts Low Hill Station Discover the beauty of Pune. A lovely destination. Pune has so much to offer.,2500
Aurangabad,Heritage,Cave paintings, History, Art,Medium,1 day,Discover the beauty of Aurangabad.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Aurangabad,19.877263,75.3390241,"Great food, great people, and amazing sights at Aurangabad.",5.0," History  Art Medium Heritage Discover the beauty of Aurangabad. Great food, great people, and amazing sights at Aurangabad.",5500
Puri,Heritage,Architecture, History, Beach nearby,Low,1 day,Discover the beauty of Puri.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Puri,19.8076083,85.8252538,"Great food, great people, and amazing sights at Puri.",4.2," History  Beach nearby Low Heritage Discover the beauty of Puri. Great food, great people, and amazing sights at Puri.",2500
Golaghat,Wildlife,Rhino safari, Nature, Birding,Medium,2-3 days,Discover the beauty of Golaghat.,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=500&auto=format&fit=crop&q=60,https://www.google.com/maps/search/?api=1&query=Golaghat,26.5108262,93.9743686,A lovely destination. Golaghat has so much to offer.,4.2, Nature  Birding Medium Wildlife Discover the beauty of Golaghat. A lovely destination. Golaghat has so much to offer.,5500
